# Архангельск / Облачность / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней / Яндекс.Погода
# n=1465, MAE=24.614, RMSE=36.238, bias=+6.065
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (36.238/46.462)^2 = 0.3917  (RMSE_персистентности по 1465 пар(ам))
# persistence baseline = смешанный (разный по периодам в пуле) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-30T14:32:26Z,2026-08-30T18:00:00Z,3.5,55.0,87.5,25.0,-32.5,32.5
6-24ч,2026-08-16T07:21:44Z,2026-08-16T18:00:00Z,10.6,95.0,25.0,100.0,70.0,70.0
6-24ч,2026-08-16T07:21:44Z,2026-08-17T00:00:00Z,16.6,25.0,12.5,100.0,12.5,12.5
6-24ч,2026-08-16T07:21:44Z,2026-08-17T06:00:00Z,22.6,25.0,75.0,100.0,-50.0,50.0
6-24ч,2026-08-16T10:09:47Z,2026-08-16T18:00:00Z,7.8,95.0,25.0,100.0,70.0,70.0
6-24ч,2026-08-16T10:09:47Z,2026-08-17T00:00:00Z,13.8,25.0,12.5,100.0,12.5,12.5
6-24ч,2026-08-16T10:09:47Z,2026-08-17T06:00:00Z,19.8,25.0,75.0,100.0,-50.0,50.0
6-24ч,2026-08-16T16:21:00Z,2026-08-17T00:00:00Z,7.7,55.0,12.5,87.5,42.5,42.5
6-24ч,2026-08-16T16:21:00Z,2026-08-17T06:00:00Z,13.7,55.0,75.0,87.5,-20.0,20.0
6-24ч,2026-08-16T16:21:00Z,2026-08-17T12:00:00Z,19.6,55.0,75.0,87.5,-20.0,20.0
6-24ч,2026-08-16T22:29:34Z,2026-08-17T06:00:00Z,7.5,25.0,75.0,25.0,-50.0,50.0
6-24ч,2026-08-16T22:29:34Z,2026-08-17T12:00:00Z,13.5,25.0,75.0,25.0,-50.0,50.0
6-24ч,2026-08-16T22:29:34Z,2026-08-17T18:00:00Z,19.5,55.0,87.5,25.0,-32.5,32.5
6-24ч,2026-08-17T04:35:30Z,2026-08-17T12:00:00Z,7.4,25.0,75.0,12.5,-50.0,50.0
6-24ч,2026-08-17T04:35:30Z,2026-08-17T18:00:00Z,13.4,55.0,87.5,12.5,-32.5,32.5
6-24ч,2026-08-17T04:35:30Z,2026-08-18T00:00:00Z,19.4,55.0,100.0,12.5,-45.0,45.0
6-24ч,2026-08-17T10:18:11Z,2026-08-17T18:00:00Z,7.7,95.0,87.5,75.0,7.5,7.5
6-24ч,2026-08-17T10:18:11Z,2026-08-18T00:00:00Z,13.7,55.0,100.0,75.0,-45.0,45.0
6-24ч,2026-08-17T10:18:11Z,2026-08-18T06:00:00Z,19.7,55.0,87.5,75.0,-32.5,32.5
6-24ч,2026-08-17T16:23:45Z,2026-08-18T00:00:00Z,7.6,55.0,100.0,75.0,-45.0,45.0
6-24ч,2026-08-17T16:23:45Z,2026-08-18T06:00:00Z,13.6,55.0,87.5,75.0,-32.5,32.5
6-24ч,2026-08-17T16:23:45Z,2026-08-18T12:00:00Z,19.6,55.0,100.0,75.0,-45.0,45.0
6-24ч,2026-08-17T22:31:28Z,2026-08-18T06:00:00Z,7.5,55.0,87.5,87.5,-32.5,32.5
6-24ч,2026-08-17T22:31:28Z,2026-08-18T12:00:00Z,13.5,55.0,100.0,87.5,-45.0,45.0
6-24ч,2026-08-17T22:31:28Z,2026-08-18T18:00:00Z,19.5,25.0,25.0,87.5,0.0,0.0
6-24ч,2026-08-18T04:30:05Z,2026-08-18T12:00:00Z,7.5,55.0,100.0,37.5,-45.0,45.0
6-24ч,2026-08-18T04:30:05Z,2026-08-18T18:00:00Z,13.5,55.0,25.0,37.5,30.0,30.0
6-24ч,2026-08-18T04:30:05Z,2026-08-19T00:00:00Z,19.5,55.0,87.5,37.5,-32.5,32.5
6-24ч,2026-08-18T10:14:55Z,2026-08-18T18:00:00Z,7.8,55.0,25.0,87.5,30.0,30.0
6-24ч,2026-08-18T10:14:55Z,2026-08-19T00:00:00Z,13.8,25.0,87.5,87.5,-62.5,62.5
6-24ч,2026-08-18T10:14:55Z,2026-08-19T06:00:00Z,19.8,55.0,100.0,87.5,-45.0,45.0
6-24ч,2026-08-18T16:27:50Z,2026-08-19T00:00:00Z,7.5,25.0,87.5,75.0,-62.5,62.5
6-24ч,2026-08-18T16:27:50Z,2026-08-19T06:00:00Z,13.5,95.0,100.0,75.0,-5.0,5.0
6-24ч,2026-08-18T16:27:50Z,2026-08-19T12:00:00Z,19.5,95.0,87.5,75.0,7.5,7.5
