# Архангельск / Облачность / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней / Yr (Норвегия)
# n=5193, MAE=26.868, RMSE=40.733, bias=-11.852
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (40.733/34.620)^2 = -0.3843  (RMSE_персистентности по 5193 пар(ам))
# persistence baseline = смешанный (разный по периодам в пуле) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,56.2,87.5,100.0,-31.3,31.3
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,56.2,87.5,100.0,-31.3,31.3
