# Архангельск / Осадки / 6-24ч / ARPEGE (Франция)
# n=30, порог дождя = 0.2 мм
# POD=1.0, FAR=0.1724137931034483, CSI=0.8275862068965517, MAE=2.867 мм, bias=+1.713 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,2.7,3.0,-0.3
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,2.7,3.0,-0.3
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,2.7,3.0,-0.3
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,8.1,3.0,5.1
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,8.1,3.0,5.1
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,8.1,3.0,5.1
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,8.1,3.0,5.1
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,5.4,3.0,2.4
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,8.1,3.0,5.1
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,8.1,3.0,5.1
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,8.1,3.0,5.1
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,5.4,0.4,5.0
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,5.4,0.4,5.0
2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,5.4,0.4,5.0
2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,6.3,0.4,5.9
2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,5.1,0.4,4.7
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,9.3,7.0,2.3
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,0.2,7.0,-6.8
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,0.2,7.0,-6.8
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,7.3,7.0,0.3
2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,2.6,4.0,-1.4
2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,2.6,4.0,-1.4
2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,0.8,0.6,0.2
2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,1.2,0.6,0.6
2026-08-09T04:59:03Z,2026-08-10T03:00:00Z,22.0,0.2,0.0,0.2
2026-08-09T10:19:29Z,2026-08-10T03:00:00Z,16.7,0.2,0.0,0.2
2026-08-09T12:41:38Z,2026-08-10T03:00:00Z,14.3,0.4,0.0,0.4
2026-08-09T12:45:53Z,2026-08-10T03:00:00Z,14.2,0.4,0.0,0.4
2026-08-09T12:48:15Z,2026-08-10T03:00:00Z,14.2,0.4,0.0,0.4
2026-08-09T16:31:44Z,2026-08-10T03:00:00Z,10.5,0.0,0.0,0.0
