# Архангельск / Температура / 6-24ч / ECMWF IFS
# n=108, MAE=0.965, RMSE=1.418, bias=+0.531
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.418/1.813)^2 = 0.3885  (RMSE_персистентности по 108 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T18:00:00Z,8.2,15.5,15.5,13.2,0.0,0.0
2026-08-06T09:50:07Z,2026-08-06T21:00:00Z,11.2,14.4,13.9,13.3,0.5,0.5
2026-08-06T09:50:07Z,2026-08-07T00:00:00Z,14.2,13.6,13.6,10.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,13.8,14.2,13.4,-0.4,0.4
2026-08-06T09:50:07Z,2026-08-07T06:00:00Z,20.2,16.3,14.3,17.0,2.0,2.0
2026-08-06T09:50:07Z,2026-08-07T09:00:00Z,23.2,20.5,16.9,16.3,3.6,3.6
2026-08-06T09:59:18Z,2026-08-06T18:00:00Z,8.0,15.5,15.5,13.2,0.0,0.0
2026-08-06T09:59:18Z,2026-08-06T21:00:00Z,11.0,14.4,13.9,13.3,0.5,0.5
2026-08-06T09:59:18Z,2026-08-07T00:00:00Z,14.0,13.6,13.6,10.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,13.8,14.2,13.4,-0.4,0.4
2026-08-06T09:59:18Z,2026-08-07T06:00:00Z,20.0,16.3,14.3,17.0,2.0,2.0
2026-08-06T09:59:18Z,2026-08-07T09:00:00Z,23.0,20.5,16.9,16.3,3.6,3.6
2026-08-06T10:08:26Z,2026-08-06T18:00:00Z,7.9,15.5,15.5,13.2,0.0,0.0
2026-08-06T10:08:26Z,2026-08-06T21:00:00Z,10.9,14.4,13.9,13.3,0.5,0.5
2026-08-06T10:08:26Z,2026-08-07T00:00:00Z,13.9,13.6,13.6,10.5,0.0,0.0
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,13.8,14.2,13.4,-0.4,0.4
2026-08-06T10:08:26Z,2026-08-07T06:00:00Z,19.9,16.3,14.3,17.0,2.0,2.0
2026-08-06T10:08:26Z,2026-08-07T09:00:00Z,22.9,20.5,16.9,16.3,3.6,3.6
2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,15.5,15.5,13.2,0.0,0.0
2026-08-06T10:47:54Z,2026-08-06T21:00:00Z,10.2,14.4,13.9,13.3,0.5,0.5
2026-08-06T10:47:54Z,2026-08-07T00:00:00Z,13.2,13.6,13.6,10.5,0.0,0.0
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,13.8,14.2,13.4,-0.4,0.4
2026-08-06T10:47:54Z,2026-08-07T06:00:00Z,19.2,16.3,14.3,17.0,2.0,2.0
2026-08-06T10:47:54Z,2026-08-07T09:00:00Z,22.2,20.5,16.9,16.3,3.6,3.6
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,15.5,15.5,13.2,0.0,0.0
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,14.4,13.9,13.3,0.5,0.5
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,13.6,13.6,10.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,13.8,14.2,13.4,-0.4,0.4
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,16.3,14.3,17.0,2.0,2.0
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,20.5,16.9,16.3,3.6,3.6
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,15.5,15.5,13.2,0.0,0.0
2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,14.4,13.9,13.3,0.5,0.5
2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,13.6,13.6,10.5,0.0,0.0
