# Архангельск / Температура / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней / ECMWF IFS
# n=6995, MAE=1.745, RMSE=2.424, bias=+0.643
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.424/3.105)^2 = 0.3908  (RMSE_персистентности по 6995 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,17.6,18.2,18.0,-0.6,0.6
0-6ч,2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,17.6,18.2,18.0,-0.6,0.6
0-6ч,2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,17.6,18.2,18.0,-0.6,0.6
0-6ч,2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,17.6,18.2,18.0,-0.6,0.6
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,17.6,18.2,18.0,-0.6,0.6
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,17.6,18.2,18.0,-0.6,0.6
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,17.6,18.2,18.0,-0.6,0.6
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,13.7,14.2,13.4,-0.5,0.5
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,14.3,14.3,17.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,14.3,14.3,17.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,19.6,16.9,16.3,2.7,2.7
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,19.6,16.9,16.3,2.7,2.7
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,21.1,20.5,19.1,0.6,0.6
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,19.6,16.9,16.3,2.7,2.7
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,21.1,20.5,19.1,0.6,0.6
0-6ч,2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,19.8,20.5,19.1,-0.7,0.7
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,18.6,15.6,18.2,3.0,3.0
0-6ч,2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,15.4,14.6,15.5,0.8,0.8
0-6ч,2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,13.4,13.5,13.9,-0.1,0.1
0-6ч,2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,12.3,12.5,13.6,-0.2,0.2
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,13.4,13.6,14.2,-0.2,0.2
0-6ч,2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,12.3,12.5,13.6,-0.2,0.2
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,13.4,13.6,14.2,-0.2,0.2
0-6ч,2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,15.9,15.4,14.3,0.5,0.5
0-6ч,2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,14.7,15.0,16.9,-0.3,0.3
0-6ч,2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,15.8,15.4,20.5,0.4,0.4
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,16.3,15.5,15.6,0.8,0.8
0-6ч,2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,12.2,13.1,12.5,-0.9,0.9
